diagnostic,mean_absolute_atm_iv_change,mean_absolute_atm_straddle_change,mean_absolute_futures_return,mean_near_atm_spread_change,mean_parity_restoration,mean_realized_futures_volatility,mean_surface_displacement,samples,seed,share,state,thresholds
diagnostic_1,0.005474234328550451,3.559279310352662e-05,5.8566822725183826e-05,0.00010225749129484243,-2.014433394994258e-07,0.00011002447916031619,0.045558349696864994,17,23,0.007258753202391118,hidden_disturbance,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
diagnostic_1,0.009025790861674718,5.019456148147583e-05,0.00012847355433872769,0.0003318311438696193,7.629473007649981e-07,0.00010405359198537385,0.06281692378383062,7,23,0.0029888983774551663,unclassified,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
diagnostic_2,0.009338308374087017,4.257134472330411e-05,5.537668863932292e-05,0.00027781479633025205,2.4709096275425206e-06,0.000107943399971121,0.05828692276517545,30,23,0.006700915791824883,ambiguous_state,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
diagnostic_2,0.005262625774191896,7.263075154152339e-05,9.208112737558184e-05,-5.298961158368114e-06,1.0438312225286057e-07,0.00012586414552902763,0.04356152972236802,4384,23,0.9792271610453429,cross_market_dislocation,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
diagnostic_2,0.0037390626966953278,8.73140525072813e-05,9.310245513916016e-05,0.00019588648137869313,-3.3433673252147855e-06,0.0001153644898449099,0.030790344191197985,16,23,0.0035738217556399374,hidden_disturbance,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
diagnostic_2,0.008879661084489619,7.607324167769006e-05,6.803553155127992e-05,0.00023020662991528183,-1.8833509378229328e-06,9.561552658703385e-05,0.06011764783922298,47,23,0.010498101407192316,unclassified,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
diagnostic_1,0.004617945945009272,5.181286325480076e-05,8.826560162483378e-05,-5.349217470675865e-06,-1.5258668467372734e-06,0.0001184513531555973,0.04363201952726036,47,42,0.020068317677198976,ambiguous_state,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
diagnostic_1,0.0045797914132676715,4.670545468092917e-05,8.585877973201331e-05,3.713842016875863e-07,5.90255025239997e-07,0.00011285733817665822,0.044063570416803845,2003,42,0.8552519214346712,cross_market_dislocation,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
diagnostic_1,0.004011594073430396,4.195379887074861e-05,9.135153726183413e-05,-3.281041755309556e-06,-1.593521023564579e-06,0.00012072918836727706,0.03987012151644958,237,42,0.10119555935098207,hidden_disturbance,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
diagnostic_1,0.005759844183921814,4.4199976731430404e-05,8.889978582208807e-05,-7.119913379111411e-05,2.0684019876749845e-06,0.00012454432326323078,0.05004191226447178,55,42,0.023484201537147736,unclassified,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
