base_plus_handcrafted_latent_skill,base_plus_handcrafted_skill,base_plus_latent_skill,base_plus_pca_latent_skill,base_plus_pca_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,correction_event_frequencies,diagnostic,draws,feature,increment_beyond_handcrafted,increment_beyond_pca,large_event_samples,large_threshold,mapping_alpha,mean_forward_change_large,mean_source_progress_large,mean_target_progress_large,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,source_subsystem,spearman,target,target_subsystem
,,,,,,12,60,0.1319117156158077,0.004731725340227944,"{""source_led_correction"":1016,""persistent_disagreement"":1624,""both_correct"":714,""target_led_correction"":1123}",diagnostic_2,500,near_to_far_disequilibrium,,,4477,6.285706487921988,10.0,0.0020279662800899052,-0.005340101810671979,-0.004152823723830777,,False,"[0,0,0,0,4477]","[null,null,null,null,0.0001253889831551262]",4477,1,near,0.06752513147986407,realized_futures_volatility,far
,,,,,,24,120,0.14990402756269153,-0.008763423703098116,"{""source_led_correction"":1016,""persistent_disagreement"":1624,""both_correct"":714,""target_led_correction"":1123}",diagnostic_2,500,near_to_far_disequilibrium,,,4477,6.285706487921988,10.0,0.0020279662800899052,-0.005340101810671979,-0.004152823723830777,,False,"[0,0,0,0,4477]","[null,null,null,null,0.0001253889831551262]",4477,1,near,0.06752513147986407,realized_futures_volatility,far
,,,,,,60,300,0.16943460969202265,-0.018555631201090942,"{""source_led_correction"":1016,""persistent_disagreement"":1624,""both_correct"":714,""target_led_correction"":1123}",diagnostic_2,500,near_to_far_disequilibrium,,,4477,6.285706487921988,10.0,0.0020279662800899052,-0.005340101810671979,-0.004152823723830777,,False,"[0,0,0,0,4477]","[null,null,null,null,0.0001253889831551262]",4477,1,near,0.06752513147986407,realized_futures_volatility,far
0.15717722450902905,0.15215824470646178,0.12213215015851286,0.06489781610791845,0.053855370294814464,0.12496157780850459,,,,,,diagnostic_2,,near_to_far_increment,0.005018979802567269,0.011042445813103985,,,,,,,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":-1.5056665543837047e-05,""ci_low"":-2.398841480210895e-05,""ci_high"":-6.336545497044969e-06,""positive_probability"":0.002,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-1.5056665543837047e-05,""ci_low"":-2.4961771352778675e-05,""ci_high"":-4.303154936865824e-06,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-1.5056665543837047e-05,""ci_low"":-2.577496980627216e-05,""ci_high"":-4.725483270773802e-06,""positive_probability"":0.002,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":5.876185361881859e-05,""ci_low"":5.107997660081684e-05,""ci_high"":6.548366506729385e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":5.876185361881859e-05,""ci_low"":5.1790399675023834e-05,""ci_high"":6.518715572244207e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":5.876185361881859e-05,""ci_low"":5.234908994051229e-05,""ci_high"":6.493310062042e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":2.670826386345411e-05,""ci_low"":1.478242275252834e-05,""ci_high"":3.7516129385631574e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":2.670826386345411e-05,""ci_low"":1.4468615254954505e-05,""ci_high"":3.9277270706730195e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":2.670826386345411e-05,""ci_low"":1.2813937502575562e-05,""ci_high"":4.054348475438079e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}}",,,,,1,near,,term_structure_iv_change,far
-0.001045005923493214,-0.0019230400598899688,-0.020309178348588475,-0.0842438836053705,-0.09078727687843213,-0.018125575157578844,,,,,,diagnostic_2,,near_to_far_increment,0.0008780341363967548,0.006543393273061637,,,,,,,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":-8.728324253356673e-06,""ci_low"":-1.2230527661710198e-05,""ci_high"":-4.9750808511331994e-06,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-8.728324253356673e-06,""ci_low"":-1.251190213039646e-05,""ci_high"":-4.640234563593797e-06,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-8.728324253356673e-06,""ci_low"":-1.2879526362666088e-05,""ci_high"":-4.583585042400227e-06,""positive_probability"":0.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":2.615532823896621e-05,""ci_low"":2.319877745212041e-05,""ci_high"":2.883521117279845e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":2.615532823896621e-05,""ci_low"":2.3545091182337873e-05,""ci_high"":2.8494892622160423e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":2.615532823896621e-05,""ci_low"":2.3768058140144036e-05,""ci_high"":2.8779072217484898e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":3.5096883351053414e-06,""ci_low"":-1.6234777341400337e-06,""ci_high"":8.979088055670784e-06,""positive_probability"":0.9,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":3.5096883351053414e-06,""ci_low"":-2.0211281447140145e-06,""ci_high"":9.421753703813245e-06,""positive_probability"":0.894,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":3.5096883351053414e-06,""ci_low"":-2.6573928616020088e-06,""ci_high"":1.0201641446902517e-05,""positive_probability"":0.862,""block_rows"":60,""draws"":500}}}",,,,,1,near,,atm_iv_convergence,far
,,,,,,12,60,0.27729755859127003,0.1851855693442796,"{""target_led_correction"":595,""persistent_disagreement"":718,""source_led_correction"":559,""both_correct"":470}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.4084056260357904,10.0,0.006865749137900664,-0.01083132464156929,-0.0041963031546347,,False,"[0,0,0,0,2342]","[null,null,null,null,-9.013920462508165e-06]",2342,7,near,0.22836097431135072,near_atm_iv_change,far
,,,,,,24,120,0.2806478882598831,0.19328589761488624,"{""target_led_correction"":595,""persistent_disagreement"":718,""source_led_correction"":559,""both_correct"":470}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.4084056260357904,10.0,0.006865749137900664,-0.01083132464156929,-0.0041963031546347,,False,"[0,0,0,0,2342]","[null,null,null,null,-9.013920462508165e-06]",2342,7,near,0.22836097431135072,near_atm_iv_change,far
,,,,,,60,300,0.29773723102722915,0.1790890577196369,"{""target_led_correction"":595,""persistent_disagreement"":718,""source_led_correction"":559,""both_correct"":470}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.4084056260357904,10.0,0.006865749137900664,-0.01083132464156929,-0.0041963031546347,,False,"[0,0,0,0,2342]","[null,null,null,null,-9.013920462508165e-06]",2342,7,near,0.22836097431135072,near_atm_iv_change,far
,,,,,,12,60,0.04149069475001646,-0.058790999678895436,"{""target_led_correction"":595,""persistent_disagreement"":718,""source_led_correction"":559,""both_correct"":470}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.4084056260357904,10.0,0.006865749137900664,-0.01083132464156929,-0.0041963031546347,,False,"[0,0,0,0,2342]","[null,null,null,null,-4.125105250502732e-06]",2342,7,near,-0.011009916277319193,far_atm_iv_change,far
,,,,,,24,120,0.035218953376934356,-0.061266669470343635,"{""target_led_correction"":595,""persistent_disagreement"":718,""source_led_correction"":559,""both_correct"":470}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.4084056260357904,10.0,0.006865749137900664,-0.01083132464156929,-0.0041963031546347,,False,"[0,0,0,0,2342]","[null,null,null,null,-4.125105250502732e-06]",2342,7,near,-0.011009916277319193,far_atm_iv_change,far
