diagnostic,trading_date,horizon,target,median_base_skill,median_jepa_skill,median_base_plus_jepa_skill,median_incremental_jepa_skill,incremental_range,positive_seeds,median_incremental_r2,median_auc,median_balanced_accuracy
diagnostic_2,2026-08-27,300s,signed_atm_iv_change,0.0396088576488296,0.005123348478564105,0.06412334621468219,0.024514488565852588,"[0.01808949491009948, 0.04005651700779844]",5,0.03472983725833578,0.7263045623221778,0.6232761888426046
diagnostic_2,2026-08-27,300s,signed_atm_straddle_change,-0.08734449731388172,0.006592544496762498,0.04039240353177065,0.12773690084565237,"[0.11028553852519829, 0.135877484354185]",5,0.22459441663275892,0.6365714276451048,0.5888233122365006
diagnostic_2,2026-08-27,300s,signed_futures_return,-0.6602427152389865,-0.06841649580999176,-0.24517181411628552,0.41507090112270095,"[0.2630093818820456, 0.514600993208135]",5,1.1013558270691568,0.47733975793274985,0.48719374746328925
diagnostic_2,2026-08-27,300s,surface_displacement,0.06419688524172151,0.04615186542318406,-0.04479464641321007,-0.10899153165493158,"[-0.8690212021917766, -0.032242495659926984]",0,-0.2957496134667501,,
diagnostic_2,2026-08-27,30s,absolute_atm_iv_change,0.19453309243206562,0.03746095292477192,0.16884760475684768,-0.025685487675217944,"[-0.030592099600273426, -0.009753409732350726]",0,-0.0905758505436709,,
diagnostic_2,2026-08-27,30s,absolute_atm_straddle_change,-0.06734775002672144,-0.047324095992935966,-0.08198555964983933,-0.014637809623117892,"[-0.15656723417918172, 0.09546997945344937]",2,-0.018293694164538188,,
diagnostic_2,2026-08-27,30s,absolute_futures_return,-0.244145025579261,-0.3219391704154604,-0.38132541429416933,-0.13718038871490834,"[-0.45472180470705803, 0.03903964877889066]",1,-0.19809914757021185,,
diagnostic_2,2026-08-27,30s,near_atm_spread_change,0.16481793905250308,0.00858268359885117,0.15712043321847724,-0.007697505834025842,"[-1.0222892032171407, -0.0009538902410158867]",0,0.003348029719261514,0.7534643209736676,0.6791322406007736
diagnostic_2,2026-08-27,30s,realized_futures_volatility,-0.6233649288031506,-0.00017365825512638544,-0.5203240025161395,0.10304092628701111,"[-0.03614026534416803, 0.24097278344745643]",3,0.17585004666741622,,
diagnostic_2,2026-08-27,30s,signed_atm_iv_change,0.08138523026992162,0.004762021150722884,0.08883570261475782,0.007450472344836201,"[0.0035453430299918764, 0.009633827562449682]",5,0.007526551799231229,0.7176521940342463,0.6544326279866794
diagnostic_2,2026-08-27,30s,signed_atm_straddle_change,-0.22831582483117718,0.0004692766952765215,-0.043967722148554156,0.18434810268262303,"[0.18158016272433497, 0.19659520743355086]",5,0.1355207039107016,0.5549248492955241,0.5362936400908541
diagnostic_2,2026-08-27,30s,signed_futures_return,-2.8969206993788954,-0.04910252333017939,-1.6878866036939408,1.2090340956849546,"[0.29407892570507066, 1.4463849930710735]",5,4.5387113623693995,0.512165124347449,0.49897205891463764
