cluster_ids,comparison_id,comparison_kind,delta_oos_r_squared,direction,evaluation_rows,fold_id,model_kind,paired_loss_blocks,permutation_repeat,permutation_seed,training_rows
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,6,51202704,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,7,51202705,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,8,51202706,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,9,51202707,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,0.005222800614705925,positive,1418,outer_03,shallow_gradient_boosting,142,0,51202708,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.005501829694600557,negative,1418,outer_03,shallow_gradient_boosting,142,1,51202709,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.008782722375714203,negative,1418,outer_03,shallow_gradient_boosting,142,2,51202710,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.007077821818511021,negative,1418,outer_03,shallow_gradient_boosting,142,3,51202711,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.007969447072294855,negative,1418,outer_03,shallow_gradient_boosting,142,4,51202712,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.011958482906036183,negative,1418,outer_03,shallow_gradient_boosting,142,5,51202713,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.002180385112461991,negative,1418,outer_03,shallow_gradient_boosting,142,6,51202714,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,0.0006268796396780019,positive,1418,outer_03,shallow_gradient_boosting,142,7,51202715,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.0025600462643204924,negative,1418,outer_03,shallow_gradient_boosting,142,8,51202716,5544
"[""cluster__1e0e01b9fe15ec55""]",cluster__1e0e01b9fe15ec55,block_permutation,-0.004616055571805555,negative,1418,outer_03,shallow_gradient_boosting,142,9,51202717,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,0,51202718,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,1,51202719,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,2,51202720,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,3,51202721,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,4,51202722,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,5,51202723,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,6,51202724,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,7,51202725,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,8,51202726,5544
"[""cluster__1e968c8901c575db""]",cluster__1e968c8901c575db,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,9,51202727,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,0,51202728,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,1,51202729,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,2,51202730,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,3,51202731,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,4,51202732,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,5,51202733,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,6,51202734,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,7,51202735,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,8,51202736,5544
"[""cluster__1f48220de6e92f9d""]",cluster__1f48220de6e92f9d,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,9,51202737,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,0,51202738,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,1,51202739,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,2,51202740,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,3,51202741,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,4,51202742,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,5,51202743,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,6,51202744,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,7,51202745,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,8,51202746,5544
"[""cluster__20fb49f3528f30d2""]",cluster__20fb49f3528f30d2,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,9,51202747,5544
"[""cluster__23a7d3b95c5e30ff""]",cluster__23a7d3b95c5e30ff,block_permutation,-0.009355084718371653,negative,1418,outer_03,shallow_gradient_boosting,142,0,51202748,5544
"[""cluster__23a7d3b95c5e30ff""]",cluster__23a7d3b95c5e30ff,block_permutation,-0.002344765623138345,negative,1418,outer_03,shallow_gradient_boosting,142,1,51202749,5544
"[""cluster__23a7d3b95c5e30ff""]",cluster__23a7d3b95c5e30ff,block_permutation,-0.0012970671528418354,negative,1418,outer_03,shallow_gradient_boosting,142,2,51202750,5544
