session,signal_ns,prediction,direction,latency_ms,ttl_seconds,queue_model,status,entry_quote_age_ms,queue_ahead_units,fee_bps,entry_price,exit_price,gross_bps,fill_delay_ms,adverse_mid_move_1s_bps,mark_from_fill_1s_bps,adverse_mid_move_5s_bps,mark_from_fill_5s_bps
2026-08-26,1787736210000000000,6.625013094123436e-05,1,0,1,touch,unfilled,268.472064,0.0,1.0,,,,,,,,
2026-08-26,1787736530000000000,-6.025541388527678e-05,-1,0,1,touch,unfilled,163.687936,0.0,0.0,,,,,,,,
2026-08-26,1787736530000000000,-6.025541388527678e-05,-1,0,1,touch,unfilled,163.687936,0.0,0.2,,,,,,,,
2026-08-26,1787736530000000000,-6.025541388527678e-05,-1,0,1,touch,unfilled,163.687936,0.0,0.5,,,,,,,,
2026-08-26,1787736530000000000,-6.025541388527678e-05,-1,0,1,touch,unfilled,163.687936,0.0,1.0,,,,,,,,
2026-08-26,1787736660000000000,5.9483315307490234e-05,1,0,1,touch,unfilled,142.251008,0.0,0.0,,,,,,,,
2026-08-26,1787736660000000000,5.9483315307490234e-05,1,0,1,touch,unfilled,142.251008,0.0,0.2,,,,,,,,
2026-08-26,1787736660000000000,5.9483315307490234e-05,1,0,1,touch,unfilled,142.251008,0.0,0.5,,,,,,,,
2026-08-26,1787736660000000000,5.9483315307490234e-05,1,0,1,touch,unfilled,142.251008,0.0,1.0,,,,,,,,
2026-08-26,1787736790000000000,-6.88462940250409e-05,-1,0,1,touch,unfilled,551.706112,0.0,0.0,,,,,,,,
2026-08-26,1787736790000000000,-6.88462940250409e-05,-1,0,1,touch,unfilled,551.706112,0.0,0.2,,,,,,,,
2026-08-26,1787736790000000000,-6.88462940250409e-05,-1,0,1,touch,unfilled,551.706112,0.0,0.5,,,,,,,,
2026-08-26,1787736790000000000,-6.88462940250409e-05,-1,0,1,touch,unfilled,551.706112,0.0,1.0,,,,,,,,
2026-08-26,1787736935000000000,-6.844350463609323e-05,-1,0,1,touch,unfilled,1334.942208,0.0,0.0,,,,,,,,
2026-08-26,1787736935000000000,-6.844350463609323e-05,-1,0,1,touch,unfilled,1334.942208,0.0,0.2,,,,,,,,
2026-08-26,1787736935000000000,-6.844350463609323e-05,-1,0,1,touch,unfilled,1334.942208,0.0,0.5,,,,,,,,
2026-08-26,1787736935000000000,-6.844350463609323e-05,-1,0,1,touch,unfilled,1334.942208,0.0,1.0,,,,,,,,
2026-08-26,1787736990000000000,6.158032303793126e-05,1,0,1,touch,unfilled,406.078208,0.0,0.0,,,,,,,,
2026-08-26,1787736990000000000,6.158032303793126e-05,1,0,1,touch,unfilled,406.078208,0.0,0.2,,,,,,,,
2026-08-26,1787736990000000000,6.158032303793126e-05,1,0,1,touch,unfilled,406.078208,0.0,0.5,,,,,,,,
2026-08-26,1787736990000000000,6.158032303793126e-05,1,0,1,touch,unfilled,406.078208,0.0,1.0,,,,,,,,
2026-08-26,1787737310000000000,8.43034928113894e-05,1,0,1,touch,unfilled,165.616128,0.0,0.0,,,,,,,,
2026-08-26,1787737310000000000,8.43034928113894e-05,1,0,1,touch,unfilled,165.616128,0.0,0.2,,,,,,,,
2026-08-26,1787737310000000000,8.43034928113894e-05,1,0,1,touch,unfilled,165.616128,0.0,0.5,,,,,,,,
2026-08-26,1787737310000000000,8.43034928113894e-05,1,0,1,touch,unfilled,165.616128,0.0,1.0,,,,,,,,
2026-08-26,1787737620000000000,8.677301930581738e-05,1,0,1,touch,unfilled,77.438208,0.0,0.0,,,,,,,,
2026-08-26,1787737620000000000,8.677301930581738e-05,1,0,1,touch,unfilled,77.438208,0.0,0.2,,,,,,,,
