latency_ms,ttl_seconds,queue_model,fee_bps,signals,fills,fill_rate,mean_net_bps_per_fill,mean_net_bps_per_signal,total_net_bps,win_rate_fills,break_even_fee_bps_per_fill
250,5,full_displayed,0.2,203,33,0.1625615763546798,0.00011166729588873319,1.815281164693692e-05,0.003685020764328195,0.42424242424242425,0.20011166729588875
250,5,full_displayed,0.5,203,33,0.1625615763546798,-0.2998883327041112,-0.04875032009475699,-9.896314979235669,0.30303030303030304,0.20011166729588875
250,5,full_displayed,1.0,203,33,0.1625615763546798,-0.7998883327041113,-0.1300311082720969,-26.396314979235672,0.2727272727272727,0.20011166729588875
250,5,half_displayed,0.0,203,37,0.18226600985221675,0.27250502265111753,0.04966840314330714,10.082685838091349,0.4594594594594595,0.27250502265111753
250,5,half_displayed,0.2,203,37,0.18226600985221675,0.07250502265111758,0.013215201172863794,2.6826858380913503,0.43243243243243246,0.27250502265111753
250,5,half_displayed,0.5,203,37,0.18226600985221675,-0.2274949773488824,-0.04146460178280123,-8.41731416190865,0.32432432432432434,0.27250502265111753
250,5,half_displayed,1.0,203,37,0.18226600985221675,-0.7274949773488825,-0.13259760670890963,-26.917314161908653,0.2972972972972973,0.27250502265111753
250,5,touch,0.0,203,93,0.458128078817734,0.3647926899535974,0.16712177421519486,33.92572016568456,0.5698924731182796,0.3647926899535974
250,5,touch,0.2,203,93,0.458128078817734,0.16479268995359744,0.07549615845164809,15.325720165684562,0.5161290322580645,0.3647926899535974
250,5,touch,0.5,203,93,0.458128078817734,-0.13520731004640257,-0.06194226519367212,-12.57427983431544,0.3978494623655914,0.3647926899535974
250,5,touch,1.0,203,93,0.458128078817734,-0.6352073100464025,-0.29100630460253907,-59.07427983431543,0.26881720430107525,0.3647926899535974
1000,1,full_displayed,0.0,203,0,0.0,,0.0,0.0,,
1000,1,full_displayed,0.2,203,0,0.0,,0.0,0.0,,
1000,1,full_displayed,0.5,203,0,0.0,,0.0,0.0,,
1000,1,full_displayed,1.0,203,0,0.0,,0.0,0.0,,
1000,1,half_displayed,0.0,203,0,0.0,,0.0,0.0,,
1000,1,half_displayed,0.2,203,0,0.0,,0.0,0.0,,
1000,1,half_displayed,0.5,203,0,0.0,,0.0,0.0,,
1000,1,half_displayed,1.0,203,0,0.0,,0.0,0.0,,
1000,1,touch,0.0,203,0,0.0,,0.0,0.0,,
1000,1,touch,0.2,203,0,0.0,,0.0,0.0,,
1000,1,touch,0.5,203,0,0.0,,0.0,0.0,,
1000,1,touch,1.0,203,0,0.0,,0.0,0.0,,
1000,5,full_displayed,0.0,203,25,0.12315270935960591,0.30779840773599537,0.03790620784926051,7.694960193399884,0.4,0.30779840773599537
1000,5,full_displayed,0.2,203,25,0.12315270935960591,0.10779840773599542,0.013275665977339337,2.6949601933998855,0.36,0.30779840773599537
1000,5,full_displayed,0.5,203,25,0.12315270935960591,-0.19220159226400457,-0.023670146830542436,-4.8050398066001145,0.28,0.30779840773599537
1000,5,full_displayed,1.0,203,25,0.12315270935960591,-0.6922015922640046,-0.0852465015103454,-17.305039806600114,0.24,0.30779840773599537
1000,5,half_displayed,0.0,203,30,0.1477832512315271,0.346443489563252,0.051198545255653004,10.39330468689756,0.4,0.346443489563252
1000,5,half_displayed,0.2,203,30,0.1477832512315271,0.14644348956325187,0.02164189500934757,4.393304686897556,0.36666666666666664,0.346443489563252
1000,5,half_displayed,0.5,203,30,0.1477832512315271,-0.15355651043674806,-0.02269308036011055,-4.606695313102442,0.3,0.346443489563252
1000,5,half_displayed,1.0,203,30,0.1477832512315271,-0.6535565104367479,-0.09658470597587408,-19.60669531310244,0.26666666666666666,0.346443489563252
1000,5,touch,0.0,203,86,0.4236453201970443,0.34047368011088486,0.14424008122924187,29.2807364895361,0.5232558139534884,0.34047368011088486
1000,5,touch,0.2,203,86,0.4236453201970443,0.14047368011088487,0.059511017189832996,12.080736489536099,0.45348837209302323,0.34047368011088486
1000,5,touch,0.5,203,86,0.4236453201970443,-0.15952631988911511,-0.06758257886928029,-13.7192635104639,0.38372093023255816,0.34047368011088486
1000,5,touch,1.0,203,86,0.4236453201970443,-0.6595263198891151,-0.2794052389678025,-56.719263510463904,0.27906976744186046,0.34047368011088486
